0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0.9663865546218487,1.2380952380952381,0.10638297872340426,0.625,-0.23076923076923078,27.66666666666666,0.9302325581395348,17.034482758620687,0.8891013384321225,11.649350649350648,0.8418891170431211,8.395833333333334,0.787139689578714,6.217391304347826,0.7228915662650602,12.236111111111109,0.8488982161594962,6.504761904761905,0.733502538071066,3.923076923076923,0.5937500000000001,1.8276220145379027,0.2926918839515241,2.5697674418604652,0.4397394136807818,3.4836601307189543,0.5539358600583091,4.656716417910448,0.6464379947229552,1.5320512820512817,0.21012658227848094,2.462585034013606,0.4223968565815324,14.074595355383533,7110.0,7100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0.9663865546218487,1.2380952380952381,0.10638297872340426,0.625,-0.23076923076923078,27.66666666666666,0.9302325581395348,17.034482758620687,0.8891013384321225,11.649350649350648,0.8418891170431211,8.395833333333334,0.787139689578714,6.217391304347826,0.7228915662650602,12.236111111111109,0.8488982161594962,6.504761904761905,0.733502538071066,3.923076923076923,0.5937500000000001,1.8276220145379027,0.2926918839515241,2.5697674418604652,0.4397394136807818,3.4836601307189543,0.5539358600583091,4.656716417910448,0.6464379947229552,1.5320512820512817,0.21012658227848094,2.462585034013606,0.4223968565815324,14.074595355383533,7110.0,7100.0
1.0,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,2.0,0.3333333333333333,0.3,-0.5384615384615384,3.6,0.5652173913043478,0.8275862068965517,-0.09433962264150944,0.5833333333333334,-0.2631578947368421,0.47761194029850745,-0.35353535353535354,0.41860465116279066,-0.4098360655737705,0.38095238095238093,-0.4482758620689655,1.0877192982456139,0.042016806722689,1.1764705882352942,0.08108108108108109,1.4193548387096773,0.17333333333333326,0.3274725274725274,-0.5066225165562914,0.3209876543209877,-0.5140186915887851,0.3356643356643356,-0.49738219895287955,0.3548387096774193,-0.47619047619047616,2.3963963963963963,0.41114058355437666,1.8035714285714286,0.28662420382165604,14.044943820224718,7125.0,7115.0
1.0,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,2.0,0.3333333333333333,0.3,-0.5384615384615384,1.125,0.058823529411764705,0.8275862068965517,-0.09433962264150944,0.5833333333333334,-0.2631578947368421,0.47761194029850745,-0.35353535353535354,0.41860465116279066,-0.4098360655737705,0.38095238095238093,-0.4482758620689655,0.7848101265822783,-0.1205673758865249,0.7751937984496123,-0.12663755458515286,0.830188679245283,-0.0927835051546392,0.32356134636264927,-0.5110746513535684,0.3209876543209877,-0.5140186915887851,0.3356643356643356,-0.49738219895287955,0.3548387096774193,-0.47619047619047616,1.0037735849056604,0.0018832391713747246,0.9099099099099099,-0.04716981132075472,14.044943820224718,7125.0,7115.0
1.0,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,2.0,0.3333333333333333,0.03333333333333333,-0.9354838709677419,0.8571428571428571,-0.07692307692307693,0.12698412698412698,-0.7746478873239437,0.07608695652173914,-0.8585858585858587,0.05850091407678245,-0.8894645941278064,0.049586776859504134,-0.9055118110236222,0.04419889502762431,-0.9153439153439153,0.15158924205378968,-0.7367303609341825,0.1589825119236884,-0.7256515775034292,0.19730941704035876,-0.6704119850187267,0.0366724095495939,-0.9292497625830958,0.03606102635228849,-0.9303882195448462,0.03800475059382423,-0.9267734553775744,0.04059040590405903,-0.9219858156028368,0.4061068702290076,-0.42236699239956577,0.2686170212765957,-0.5765199161425576,14.044943820224718,7125.0,7115.0
1.0,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,2.0,0.3333333333333333,0.03333333333333333,-0.9354838709677419,0.8809523809523809,-0.06329113924050633,0.12698412698412698,-0.7746478873239437,0.07608695652173914,-0.8585858585858587,0.05850091407678245,-0.8894645941278064,0.049586776859504134,-0.9055118110236222,0.04419889502762431,-0.9153439153439153,0.15403422982885084,-0.7330508474576273,0.16216216216216214,-0.7209302325581396,0.20179372197309417,-0.6641791044776119,0.03673394043809993,-0.929135260252834,0.03606102635228849,-0.9303882195448462,0.03800475059382423,-0.9267734553775744,0.04059040590405903,-0.9219858156028368,0.41679389312977094,-0.4116379310344828,0.2752659574468085,-0.5683003128258602,14.044943820224718,7125.0,7115.0
1.0,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,2.0,0.3333333333333333,0.03333333333333333,-0.9354838709677419,1.5952380952380953,0.22935779816513763,0.12698412698412698,-0.7746478873239437,0.07608695652173914,-0.8585858585858587,0.05850091407678245,-0.8894645941278064,0.049586776859504134,-0.9055118110236222,0.04419889502762431,-0.9153439153439153,0.2273838630806846,-0.6294820717131475,0.2575516693163752,-0.5903919089759798,0.336322869955157,-0.4966442953020134,0.03857986709328083,-0.9257064992001894,0.03606102635228849,-0.9303882195448462,0.03800475059382423,-0.9267734553775744,0.04059040590405903,-0.9219858156028368,0.7374045801526719,-0.15114235500878728,0.4747340425531915,-0.35617673579801623,14.044943820224718,7125.0,7115.0
1.0,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,3.0,0.5,0.03333333333333333,-0.9354838709677419,1.5952380952380953,0.22935779816513763,0.1746031746031746,-0.7027027027027026,0.09782608695652174,-0.8217821782178217,0.0712979890310786,-0.8668941979522184,0.05785123966942148,-0.8906249999999999,0.049723756906077346,-0.9052631578947369,0.24449877750611243,-0.6070726915520629,0.2655007949125596,-0.5804020100502514,0.34080717488789236,-0.491638795986622,0.03919517597834113,-0.92456628574812,0.03744798890429958,-0.927807486631016,0.04038004750593824,-0.9223744292237442,0.04428044280442804,-0.9151943462897527,0.7389312977099237,-0.15013169446883226,0.4773936170212766,-0.3537353735373538,14.044943820224718,7125.0,7115.0
1.0,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,3.0,0.5,0.03333333333333333,-0.9354838709677419,1.5952380952380953,0.22935779816513763,0.1746031746031746,-0.7027027027027026,0.09782608695652174,-0.8217821782178217,0.0712979890310786,-0.8668941979522184,0.05785123966942148,-0.8906249999999999,0.049723756906077346,-0.9052631578947369,0.24449877750611243,-0.6070726915520629,0.2655007949125596,-0.5804020100502514,0.34080717488789236,-0.491638795986622,0.03919517597834113,-0.92456628574812,0.03744798890429958,-0.927807486631016,0.04038004750593824,-0.9223744292237442,0.04428044280442804,-0.9151943462897527,0.7389312977099237,-0.15013169446883226,0.4773936170212766,-0.3537353735373538,14.044943820224718,7125.0,7115.0
1.0,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,0.21097,3.0,0.5,0.038888888888888896,-0.9251336898395722,1.5952380952380953,0.22935779816513763,0.1798941798941799,-0.695067264573991,0.10326086956521739,-0.8128078817733991,0.07678244972577697,-0.8573853989813242,0.06336088154269973,-0.8808290155440416,0.055248618784530384,-0.8952879581151832,0.24938875305623467,-0.6007827788649707,0.2702702702702703,-0.5744680851063829,0.3452914798206278,-0.48666666666666664,0.04473295594388384,-0.9143648035808939,0.04299583911234397,-0.9175531914893619,0.04592240696753762,-0.9121877365632097,0.04981549815498155,-0.9050966608084358,0.7419847328244276,-0.14811568799298852,0.4813829787234043,-0.35008976660682223,14.044943820224718,7125.0,7115.0
